10-03-2022 14:09:01 Uphill Blak Elytic Becket Zery   || 1:0 ||  Timo Nookie Diddy Ruski Suddi 
10-03-2022 14:11:59 Nookie Blak Elytic Ehkho Zery   || 1:0 ||  Timo Tt Diddy Becket Suddi 
10-03-2022 14:18:58 Nookie Blak Elytic Ehkho Uphill   || 1:0 ||  Timo Tt Diddy Becket Suddi 
10-03-2022 14:21:06 Nookie Blak Elytic Ehkho Uphill   || 1:2 ||  Timo Tt Diddy Becket Suddi 
10-03-2022 15:17:54 Timo Ruski Zery Stn Blak   || 1:0 ||  Uphill Elytic Diddy Becket Suddi 
10-03-2022 15:19:59 Suddi Timo Cylas Ruski Blak   || 1:0 ||  Uphill Elytic Diddy Becket Stn 
10-03-2022 15:22:35 Alex Bobby Uphill Zery Blak   || 1:0 ||  Suddi Elytic Timo Becket Tark 
10-03-2022 15:24:12 Alex Bobby Grim Ehkho Blak   || 0:1 ||  Suddi Elytic Timo Becket Tark 
10-03-2022 15:26:32 Timo Elytic Grim Ehkho Blak   || 0:2 ||  Suddi Alex Bobby Zto Tark 
10-03-2022 15:28:37 Timo Alex Suddi Ehkho Blak   || 1:0 ||  Elytic Uphill Bobby Zto Nookie 
10-03-2022 15:30:11 Ruski Slime Suddi Ehkho Blak   || 0:2 ||  Elytic Uphill Diddy Ethereal Timo 
10-03-2022 16:08:00 Elytic Bobby Uphill Pano Blak   || 2:0 ||  Alex Ruski Diddy Ethereal Suddi 
10-03-2022 16:10:56 Elytic Bobby Uphill Hero Blak   || 2:0 ||  Tark Timo Nookie Panda Suddi 
10-03-2022 16:12:56 Elytic Nookie Uphill Hero Suddi   || 0:1 ||  Tark Timo Bobby Panda Blak
13-03-2022 20:53:51 Stn Timo Diddy Uphill Alex   || 1:2 ||  Elytic Blak M-kon Zery Zim 
13-03-2022 21:38:46 Elytic Pano Diddy Zim Alex   || 1:1 ||  Stn Blak Ronin Ruski Zery 
13-03-2022 22:08:13 Stn Elytic Ronin Uphill Zim   || 2:0 ||  Pano Blak Diddy Ruski Alex 
26-03-2022 00:32:59 Blak Timo Diddy Elytic Zto   || 3:2 ||  Ethereal Stn Pano Bobby Alex 
26-03-2022 00:57:22 Timo Diddy Ethereal Stn Zto   || 0:1 ||  Blak Pano Elytic Bobby Uphill 
26-03-2022 01:25:20 Blak Timo Stn Pano Wraith   || 0:1 ||  Diddy Ethereal Elytic Bobby Uphill 
29-04-2022 22:03:31 Blak Bobby Stinky Becket Uphill   || 1:2 ||  Pano Elytic Timo Zery Lightman 
11-05-2022 22:40:10 Hero Zery Grim Elytic Bobby   || 1:0 ||  Blak Suddi Ronin Uphill Stinky 
11-05-2022 22:40:47 Suddi Hero Zery Elytic Stinky   || 2:2 ||  Blak Ronin Grim Bobby Uphill 
