Uphill Blak Elytic Becket Zery   || <- 1 ||  eden  ||  Timo Nookie Diddy Ruski Suddi 
Nookie Blak Elytic Ehkho Zery   || <- 2 ||  drydock  ||  Timo Tt Diddy Becket Suddi 
Nookie Blak Elytic Ehkho Uphill   || <- 1 ||  angel  ||  Timo Tt Diddy Becket Suddi 
Nookie Blak Elytic Ehkho Uphill   || -> 1 ||  colony  ||  Timo Tt Diddy Becket Suddi 
Nookie Blak Elytic Ehkho Uphill   || -> 1 ||  glitch  ||  Timo Tt Diddy Becket Suddi 
Nookie Blak Elytic Ehkho Uphill   || <- 1 ||  boomtown  ||  Timo Tt Diddy Becket Suddi 
Timo Ruski Zery Stn Blak   || <- 4 ||  glitch  ||  Uphill Elytic Diddy Becket Suddi 
Suddi Timo Cylas Ruski Blak   || <- 3 ||  colony  ||  Uphill Elytic Diddy Becket Stn 
Alex Bobby Uphill Zery Blak   || <- 1 ||  drydock  ||  Suddi Elytic Timo Becket Tark 
Alex Bobby Grim Ehkho Blak   || -> 5 ||  angel  ||  Suddi Elytic Timo Becket Tark 
Timo Elytic Grim Ehkho Blak   || -> 5 ||  glitch  ||  Suddi Alex Bobby Zto Tark 
Timo Elytic Grim Ehkho Blak   || -> 5 ||  exo  ||  Suddi Alex Bobby Zto Tark 
Timo Alex Suddi Ehkho Blak   || <- 1 ||  eden  ||  Elytic Uphill Bobby Zto Nookie 
Ruski Slime Suddi Ehkho Blak   || -> 1 ||  exo  ||  Elytic Uphill Diddy Ethereal Timo 
Ruski Slime Suddi Ehkho Blak   || -> 4 ||  boomtown  ||  Elytic Uphill Diddy Ethereal Timo 
Elytic Bobby Uphill Pano Blak   || <- 3 ||  exo  ||  Alex Ruski Diddy Ethereal Suddi 
Elytic Bobby Uphill Pano Blak   || <- 1 ||  eden  ||  Alex Ruski Diddy Ethereal Suddi 
Elytic Bobby Uphill Hero Blak   || <- 1 ||  exo  ||  Tark Timo Nookie Panda Suddi 
Elytic Bobby Uphill Hero Blak   || <- 3 ||  eden  ||  Tark Timo Nookie Panda Suddi 
Elytic Nookie Uphill Hero Suddi   || -> 2 ||  drydock  ||  Tark Timo Bobby Panda Blak //
Stn Timo Diddy Uphill Alex   || <- 3 ||  boomtown  ||  Elytic Blak M-kon Zery Zim 
Stn Timo Diddy Uphill Alex   || -> 1 ||  exo  ||  Elytic Blak M-kon Zery Zim 
Stn Timo Diddy Uphill Alex   || -> 1 ||  eden  ||  Elytic Blak M-kon Zery Zim 
