Suddi,22,2,0.55,22,2,0.77,20,2,0.3,17,3,0.94,12,2,0.75,13,1,0.62,8,2,0.75,114,3,0.65
Zery,35,2,0.11,33,2,0.33,29,1,0.1,24,3,0.25,16,2,0.38,13,2,0.38,9,1,0.33,159,3,0.41
Stn,25,3,0.28,26,2,0.19,26,1,0.15,19,1,0.11,16,3,0.38,13,2,0.0,8,2,0.25,133,3,0.48
Foy,16,2,0.31,18,3,0.39,18,2,0.17,15,2,0.33,7,3,0.71,5,1,0.2,3,3,0.33,82,3,0.61
Timo,32,1,0.16,36,3,0.5,33,2,0.18,27,1,0.22,16,2,0.31,17,2,0.41,13,1,0.15,174,3,0.4
Becket,36,3,0.19,37,2,0.27,31,2,0.32,27,2,0.52,17,1,0.18,17,2,0.18,12,2,0.25,177,3,0.48
Nookie,17,1,0.0,20,1,0.0,21,1,0.05,17,1,0.12,12,0,0.0,13,1,0.08,8,1,0.0,108,1,0.11
Haboo,23,2,0.3,24,3,0.5,23,1,0.3,15,2,0.6,13,4,0.77,10,3,0.9,5,2,0.4,113,4,0.64
Squishy,3,1,0.33,6,1,0.17,5,1,0.4,5,1,0.2,5,0,0.0,3,1,0.67,2,0,0.0,29,1,0.28
Elytic,32,1,0.13,34,3,0.38,31,2,0.26,25,4,0.4,15,2,0.53,14,2,0.36,11,1,0.27,162,4,0.44
Diddy,29,1,0.07,31,2,0.19,29,2,0.1,22,5,0.27,16,2,0.25,16,2,0.25,13,1,0.23,156,5,0.44
Blak,43,2,0.28,44,3,0.36,41,2,0.22,32,3,0.53,24,3,0.38,24,2,0.17,13,3,0.54,221,3,0.59
Grim,5,1,0.2,6,1,0.0,4,3,0.0,4,1,0.0,2,1,0.5,2,0,0.0,1,2,0.0,24,3,0.5
M-kon,11,1,0.36,10,2,0.2,11,2,0.36,5,1,0.2,2,2,0.0,3,2,0.67,2,1,0.5,44,2,0.55
Zim,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,1,1,1.0
Zto,2,2,0.0,5,1,0.0,5,1,0.2,4,0,0.0,3,1,0.33,2,1,0.0,2,1,0.0,23,2,0.3
Bobby,6,1,0.17,13,1,0.31,11,1,0.27,11,3,0.45,6,2,0.67,5,3,1.0,5,0,0.0,57,3,0.56
Naicrez,17,1,0.24,17,2,0.47,18,2,0.39,15,1,0.47,11,3,1.0,10,2,0.5,5,3,1.2,93,3,0.52
Toxic,30,1,0.07,29,1,0.1,28,2,0.21,22,1,0.36,19,3,0.32,16,1,0.06,9,1,0.11,153,3,0.23
Eppixx,2,0,0.0,1,0,0.0,1,0,0.0,1,3,0.0,0,0,0.0,2,1,0.5,1,0,0.0,8,3,0.5
Cylas,8,1,0.13,9,4,0.22,7,0,0.0,5,2,0.0,1,0,0.0,3,1,0.0,1,0,0.0,34,4,0.47
Slime,2,0,0.0,2,0,0.0,1,0,0.0,2,3,1.5,2,1,0.5,2,0,0.0,1,0,0.0,12,3,0.42
Sora,4,2,0.75,4,1,0.0,4,1,0.25,1,0,0.0,3,1,0.33,2,0,0.0,1,2,0.0,19,2,0.42
Alex,11,1,0.36,11,3,0.36,10,1,0.2,6,4,0.83,5,2,0.8,4,0,0.0,1,0,0.0,48,4,0.5
Ronin,27,1,0.0,28,2,0.04,24,1,0.0,16,2,0.06,11,1,0.09,12,1,0.17,6,1,0.0,124,2,0.19
Mitter,20,1,0.05,19,3,0.58,18,1,0.22,14,1,0.21,7,1,0.43,7,1,0.29,3,1,0.33,88,3,0.31
Lightman,6,1,0.5,4,1,0.5,3,1,0.67,1,2,2.0,1,0,0.0,2,0,0.0,0,0,0.0,17,2,0.53
Titan,10,1,0.2,10,1,0.1,7,1,0.0,4,0,0.0,3,2,0.0,3,1,0.0,3,1,0.33,40,2,0.3
Uphill,50,2,0.4,52,2,0.19,47,2,0.34,36,4,0.33,20,3,0.4,20,3,0.1,14,2,0.21,239,4,0.59
Tark,4,1,0.5,5,1,0.6,4,1,0.25,1,0,0.0,3,1,0.0,1,0,0.0,1,0,0.0,19,1,0.42
Skitts,0,0,0.0,1,0,0.0,2,1,0.5,2,1,0.5,2,0,0.0,2,0,0.0,1,0,0.0,10,1,0.2
Daire,3,0,0.0,4,2,0.75,2,1,0.5,2,1,0.5,0,0,0.0,0,0,0.0,0,0,0.0,11,2,0.64
