Suddi,22,31,21.05,22,35,22.41,20,30,23.2,17,37,21.82,12,32,20.83,13,41,23.23,8,34,23.13,114,41,22.18
Zery,35,29,19.31,33,31,20.52,29,33,23.83,24,29,18.83,16,24,17.5,13,32,22.54,9,33,21.89,159,33,20.54
Stn,25,36,21.92,26,38,24.35,26,40,25.23,19,34,22.53,16,31,23.13,13,38,27.38,8,38,28.38,133,40,24.2
Foy,16,28,19.5,18,29,19.94,18,38,25.39,15,28,20.47,7,27,17.71,5,22,19.0,3,30,24.67,82,38,21.07
Timo,32,29,22.19,36,35,23.17,33,38,24.36,27,34,21.22,16,38,24.25,17,37,26.59,13,39,26.54,174,39,23.6
Becket,36,31,21.06,37,33,20.7,31,38,25.39,27,30,20.04,17,23,17.88,17,28,20.71,12,30,23.83,177,38,21.44
Nookie,17,42,30.47,20,42,32.3,21,43,32.24,17,29,25.12,12,38,26.67,13,40,31.0,8,36,31.25,108,43,30.01
Haboo,23,36,20.0,24,32,20.75,23,33,18.91,15,26,16.93,13,20,17.38,10,27,19.6,5,29,19.6,113,36,19.18
Squishy,3,30,24.67,6,28,24.5,5,26,21.2,5,29,23.8,5,25,22.2,3,31,26.0,2,19,19.0,29,31,23.21
Elytic,32,32,21.47,34,40,23.94,31,36,24.32,25,30,21.64,15,35,23.2,14,30,21.36,11,28,20.18,162,40,22.62
Diddy,29,30,21.07,31,27,19.0,29,27,20.55,22,27,19.32,16,28,19.38,16,29,19.88,13,39,21.69,156,39,20.07
Blak,43,29,19.98,44,34,23.55,41,42,23.44,32,44,21.22,24,28,21.42,24,45,25.38,13,30,22.77,221,45,22.42
Grim,5,29,23.8,6,30,23.33,4,22,19.25,4,21,18.25,2,24,18.0,2,16,15.0,1,23,23.0,24,30,20.75
M-kon,11,27,18.0,10,32,22.1,11,30,20.36,5,20,16.6,2,19,16.0,3,22,16.33,2,21,20.0,44,32,19.25
Zim,0,0,0.0,0,0,0.0,0,0,0.0,1,25,25.0,0,0,0.0,0,0,0.0,0,0,0.0,1,25,25.0
Zto,2,30,21.0,5,30,24.2,5,29,22.4,4,34,22.0,3,33,23.33,2,21,19.0,2,32,26.0,23,34,22.74
Bobby,6,26,21.83,13,36,25.38,11,31,21.45,11,27,20.18,6,28,19.5,5,34,26.2,5,35,27.0,57,36,22.84
Naicrez,17,26,19.82,17,30,19.94,18,33,20.39,15,30,20.4,11,28,21.55,10,31,22.3,5,28,20.8,93,33,20.57
Toxic,30,34,22.77,29,41,24.38,28,34,24.86,22,33,23.05,19,38,22.0,16,34,24.25,9,30,24.56,153,41,23.66
Eppixx,2,22,20.5,1,15,15.0,1,14,14.0,1,15,15.0,0,0,0.0,2,22,21.5,1,30,30.0,8,30,19.75
Cylas,8,26,17.38,9,23,16.78,7,23,19.14,5,24,15.6,1,16,16.0,3,17,15.0,1,23,23.0,34,26,17.24
Slime,2,19,14.5,2,16,15.5,1,20,20.0,2,28,20.0,2,18,15.5,2,20,19.5,1,16,16.0,12,28,17.17
Sora,4,20,19.5,4,21,20.25,4,18,15.0,1,20,20.0,3,18,14.67,2,18,17.5,1,19,19.0,19,21,17.74
Alex,11,28,16.82,11,28,19.27,10,23,15.9,6,23,13.83,5,24,19.2,4,26,21.0,1,21,21.0,48,28,17.5
Ronin,27,33,19.22,28,29,20.5,24,33,18.88,16,23,15.38,11,27,18.73,12,28,21.17,6,24,19.0,124,33,19.08
Mitter,20,28,17.9,19,28,18.79,18,32,21.89,14,24,17.36,7,20,16.57,7,24,18.29,3,22,18.67,88,32,18.77
Lightman,6,24,16.17,4,18,11.75,3,20,13.0,1,20,20.0,1,14,14.0,2,24,20.0,0,0,0.0,17,24,15.12
Titan,10,25,18.2,10,27,16.9,7,28,18.57,4,27,20.0,3,15,12.33,3,29,23.67,3,20,16.0,40,29,17.92
Uphill,50,26,17.52,52,31,17.9,47,29,19.15,36,26,17.06,20,30,15.8,20,30,20.55,14,23,16.79,239,31,17.92
Tark,4,23,15.5,5,24,14.2,4,16,14.0,1,20,20.0,3,22,18.33,1,14,14.0,1,15,15.0,19,24,15.42
Skitts,0,0,0.0,1,8,8.0,2,20,16.0,2,14,12.5,2,14,13.0,2,15,15.0,1,16,16.0,10,20,13.7
Daire,3,18,14.67,4,14,10.5,2,20,16.0,2,14,11.5,0,0,0.0,0,0,0.0,0,0,0.0,11,20,12.82
