Suddi,145,139,51%,16,15,52%,18,13,58%,12,16,43%,13,12,52%,11,8,58%,11,7,61%,8,6,57%
Stn,125,124,50%,16,17,48%,18,16,53%,17,16,52%,13,12,52%,10,13,43%,7,12,37%,5,8,38%
Zery,131,102,56%,25,25,50%,24,22,52%,19,21,48%,23,12,66%,15,9,63%,10,6,63%,8,4,67%
Foy,54,29,65%,10,6,63%,9,9,50%,13,5,72%,9,6,60%,7,0,100%,2,3,40%,3,0,100%
Becket,140,111,56%,35,13,73%,19,27,41%,29,12,71%,17,20,46%,12,13,48%,11,11,50%,9,9,50%
Timo,198,188,51%,26,25,51%,33,21,61%,21,28,43%,20,19,51%,13,14,48%,12,12,50%,12,10,55%
Nookie,101,84,55%,19,10,66%,15,15,50%,20,14,59%,10,17,37%,12,8,60%,9,10,47%,7,6,54%
Squishy,49,38,56%,1,2,33%,3,3,50%,4,1,80%,2,3,40%,0,5,0%,3,0,100%,1,1,50%
Haboo,70,59,54%,11,13,46%,13,12,52%,13,11,54%,9,7,56%,7,7,50%,9,1,90%,2,3,40%
Elytic,186,193,49%,22,28,44%,23,29,44%,28,18,61%,17,22,44%,11,15,42%,14,9,61%,10,11,48%
Diddy,136,141,49%,21,19,52%,19,22,46%,12,27,31%,17,13,57%,11,15,42%,10,14,42%,12,8,60%
Blak,244,243,50%,23,38,38%,32,31,51%,28,30,48%,25,21,54%,22,14,61%,15,17,47%,10,13,43%
Grim,53,63,46%,6,2,75%,4,6,40%,4,2,67%,2,4,33%,2,2,50%,2,2,50%,3,1,75%
M-kon,32,24,57%,8,6,57%,9,4,69%,6,8,43%,2,5,29%,3,1,75%,3,2,60%,2,2,50%
Zim,32,40,44%,0,0,0%,0,0,0%,0,0,0%,0,1,0%,0,0,0%,0,0,0%,0,0,0%
Zto,45,48,48%,2,3,40%,5,4,56%,3,6,33%,3,5,38%,4,3,57%,2,3,40%,3,2,60%
Bobby,119,104,53%,8,10,44%,16,12,57%,14,10,58%,10,12,45%,6,9,40%,5,5,50%,5,6,45%
Toxic,70,83,46%,16,14,53%,12,17,41%,13,15,46%,11,11,50%,8,11,42%,8,8,50%,2,7,22%
Naicrez,53,40,57%,9,8,53%,11,6,65%,7,11,39%,12,3,80%,6,5,55%,4,6,40%,4,1,80%
Eppixx,15,10,60%,0,2,0%,0,1,0%,0,1,0%,1,0,100%,0,0,0%,2,0,100%,0,1,0%
Cylas,35,42,45%,5,6,45%,4,7,36%,4,6,40%,3,4,43%,2,1,67%,4,2,67%,1,2,33%
Slime,36,40,47%,2,4,33%,3,4,43%,4,1,80%,2,4,33%,3,4,43%,4,1,80%,1,4,20%
Sora,27,23,54%,3,1,75%,3,1,75%,1,3,25%,1,0,100%,2,1,67%,0,2,0%,1,0,100%
Alex,72,77,48%,10,8,56%,10,10,50%,6,12,33%,6,7,46%,5,7,42%,3,4,43%,2,3,40%
Ronin,81,82,50%,17,20,46%,21,17,55%,14,19,42%,8,15,35%,7,11,39%,10,7,59%,6,5,55%
Mitter,45,43,51%,10,10,50%,13,6,68%,10,8,56%,6,8,43%,3,4,43%,2,5,29%,1,2,33%
Lightman,13,9,59%,4,2,67%,2,2,50%,1,2,33%,1,0,100%,1,0,100%,0,2,0%,0,0,0%
Titan,18,23,44%,3,7,30%,3,7,30%,2,5,29%,4,0,100%,2,1,67%,1,2,33%,2,1,67%
Uphill,183,179,51%,35,34,51%,34,36,49%,32,32,50%,25,23,52%,17,13,57%,13,16,45%,12,11,52%
Tark,53,50,51%,2,2,50%,1,4,20%,3,1,75%,0,1,0%,1,2,33%,1,0,100%,0,1,0%
Skitts,11,9,55%,0,0,0%,1,0,100%,2,0,100%,1,1,50%,0,2,0%,1,1,50%,1,0,100%
Daire,37,34,52%,2,5,29%,5,3,63%,2,4,33%,3,2,60%,2,1,67%,1,1,50%,1,2,33%
